rc_pool,flags,rc_sorted,mem_pool,mem_sorted,pc_update
32769,272,32767,44,1,3618502788666131213697322783095070105623107215331596699973092056135872020241
32769,136,32767,30,290341444919459839,0
32769,68,32767,91,1,0
32769,34,32767,0,290341444919459839,0
32769,17,32767,43,1,40
32769,8,32767,40,290341444919459839,0
32769,4,32767,0,1,0
32769,2,32767,0,290341444919459839,0
32769,1,32767,29,1,3618502788666131213697322783095070105623107215331596699973092056135872020473
32769,0,32767,3618502788666131213697322783095070105623107215331596699973092056135872020473,290341444919459839,0
32769,0,32767,91,1,0
32769,0,32767,0,290341444919459839,0
32765,519,32767,20,1,45
32769,259,32767,146226256843603965,290341444919459839,0
32769,129,32767,0,1,9
32769,64,32767,0,290341444919459839,0
32769,32,32767,44,1,120
32769,16,32767,30,290341444919459839,0
32769,8,32767,91,1,0
32769,4,32767,0,290341444919459839,0
32767,2,32767,42,1,45
32769,1,32767,9,290341444919459839,0
32769,0,32767,0,1,1
32769,0,32767,0,290341444919459839,0
32769,0,32767,21,1,2814391057851435388431251053518387859929083389702352988867960488105678238152
32769,0,32767,4,290341444919459839,0
32769,0,32767,91,1,0
32769,0,32767,0,290341444919459839,0
32768,18442,32767,24,1,45
32769,9221,32767,5191102242953854976,290341444919459839,0
32769,4610,32767,0,1,0
32769,2305,32767,0,290341444919459839,0
32764,1152,32767,44,1,60
32769,576,32767,30,290341444919459839,0
32769,288,32767,91,1,0
32769,144,32767,0,290341444919459839,0
32767,72,32767,45,1,45
32769,36,32767,2,290341444919459839,0
32769,18,32767,0,1,0
32769,9,32767,0,290341444919459839,0
32769,4,32767,41,1,2
32769,2,32767,2,290341444919459839,0
32769,1,32767,91,1,0
32769,0,32767,0,290341444919459839,0
32768,18474,32767,25,1,46
32769,9237,32767,5200109442208333824,290341444919459839,0
32769,4618,32767,0,1,0
32769,2309,32767,0,290341444919459839,0
32764,1154,32767,40,1,2
32769,577,32767,1,290341444919459839,0
32769,288,32767,91,1,0
32769,144,32768,0,290341444919459839,0
32763,72,32768,46,1,45
32769,36,32768,3,290341444919459839,0
32769,18,32768,0,1,0
32769,9,32768,0,290341444919459839,0
32769,4,32768,41,1,3
32769,2,32768,2,290341444919459839,0
32769,1,32768,91,1,0
32769,0,32768,0,290341444919459839,0
32768,18470,32768,26,1,47
32769,9235,32768,5198983563776458752,290341444919459839,0
32769,4617,32768,0,1,0
32769,2308,32768,0,290341444919459839,0
32769,1154,32768,42,1,3618502788666131213697322783095070105623107215331596699973092056135872020472
32769,577,32768,9,290341444919459839,0
32769,288,32768,91,1,0
32769,144,32768,0,290341444919459839,0
32765,72,32768,47,1,45
32769,36,32768,8,290341444919459839,0
32769,18,32768,0,1,0
32769,9,32768,0,290341444919459839,0
32769,4,32768,27,1,8
32769,2,32768,3618502788666131213697322783095070105623107215331596699973092056135872020480,290341444919459839,0
32769,1,32768,91,1,0
32769,0,32768,0,290341444919459839,0
32768,4356,32768,28,1,48
32769,2178,32768,1226245742482522112,290341444919459839,0
32769,1089,32768,0,1,0
32769,544,32768,0,290341444919459839,0
32769,272,32768,49,1,3618502788666131213697322783095070105623107215331596699973092056135872020241
32769,136,32768,30,290341444919459839,0
32769,68,32768,91,1,0
32769,34,32768,0,290341444919459839,0
32769,17,32768,48,1,45
32769,8,32768,45,290341444919459839,0
32769,4,32768,0,1,0
32769,2,32768,0,290341444919459839,0
32769,1,32768,29,1,3618502788666131213697322783095070105623107215331596699973092056135872020473
32769,0,32768,3618502788666131213697322783095070105623107215331596699973092056135872020473,290341444919459839,0
32769,0,32768,91,1,0
32769,0,32768,0,290341444919459839,0
32765,519,32768,20,1,50
32769,259,32768,146226256843603965,290341444919459839,0
32769,129,32768,0,1,8
32769,64,32768,0,290341444919459839,0
32769,32,32768,49,1,120
32769,16,32769,30,290341444919459839,0
32769,8,32769,91,1,0
32769,4,32769,0,290341444919459839,0
32767,2,32769,47,1,50
32769,1,32769,8,290341444919459839,0
32769,0,32769,0,1,1
32769,0,32769,0,290341444919459839,0
32769,0,32769,21,1,3166189940082864811985157435208186342420218813415147112476455549118888017921
32769,0,32769,4,290341444919459839,0
32769,0,32769,91,1,0
32769,0,32769,0,290341444919459839,0
32768,18442,32769,24,1,50
32769,9221,32769,5191102242953854976,290341444919459839,0
32769,4610,32769,0,1,0
32769,2305,32769,0,290341444919459839,0
32764,1152,32769,49,1,90
32769,576,32769,30,290341444919459839,0
32769,288,32769,91,1,0
32769,144,32769,0,290341444919459839,0
32767,72,32769,50,1,50
32769,36,32769,3,290341444919459839,0
32769,18,32769,0,1,0
32769,9,32769,0,290341444919459839,0
32769,4,32769,46,1,3
32769,2,32769,3,290341444919459839,0
32769,1,32769,91,1,0
32769,0,32769,0,290341444919459839,0
32768,18474,32769,25,1,51
32769,9237,32769,5200109442208333824,290341444919459839,0
32769,4618,32769,0,1,0
32769,2309,32769,0,290341444919459839,0
32764,1154,32769,45,1,6
32769,577,32769,2,290341444919459839,0
32769,288,32769,91,1,0
32769,144,32769,0,290341444919459839,0
32763,72,32769,51,1,50
32769,36,32769,5,290341444919459839,0
32769,18,32769,0,1,0
32769,9,32769,0,290341444919459839,0
32769,4,32769,46,1,5
32769,2,32769,3,290341444919459839,0
32769,1,32769,91,1,0
32769,0,32769,0,290341444919459839,0
32768,18470,32769,26,1,52
32769,9235,32769,5198983563776458752,290341444919459839,0
32769,4617,32769,0,1,0
32769,2308,32769,0,290341444919459839,0
32769,1154,32769,47,1,3618502788666131213697322783095070105623107215331596699973092056135872020473
32769,577,32769,8,290341444919459839,0
32769,288,32769,91,1,0
32769,144,32769,0,290341444919459839,0
32765,72,32769,52,1,50
32769,36,32769,7,290341444919459839,0
32769,18,32769,0,1,0
