823338088869439231,2117108638373820691,2229447756518613873,1267826118149340713,1914040319882762128,1517472965193791713,1517185983240457465,1173996590568495268,422851619803761585,1602586210003543191,35735290356331136,1478684443030049290
1185084594364363143,386504857525734201,900805054056138048,2206086765722274276,77358030797185120,168814859743553085,609019594106244118,967259826801110417,1245941946974910944,331754017570996207,1042813765834987924,1416706138472890797              
1644685178030218132,84777539421936552,211114716802537324,1452180437296649780,1981779992650434186,1244315040009035360,141834693084545970,587855844772411290,947501996990717579,1160394519596317219,1353794997748857692,1084801327806912709
294000575516900023,1038834305701615220,2028636067677044788,556344854738395739,673598438439868941,866232706825334403,8439985508328051,531309808133015717,913058415036251803,1418541144229396763,260962125129513116,1629568606490204964
1338168026761758784,639198938790892266,1175728442583937526,1253161805104066097,322912216969028600,1265589681041505318,1761319009648514235,329080691196806583,2206868075918138340,363841372535877030,1058835961667518417,1378873053370828919
2057042464687056702,1477921882920214288,1811799613479311691,692883914293934706,1722129634696879434,1738023165613368735,1557039527687079106,361948928633069941,1838764902588232309,1093073101857924446,2235148041867494472,736122639993481301
1703087819126335355,695176839652737917,935213047666097451,112265271919339588,732242643028035086,1068706827223187857,2025842508514124257,893511342449768918,444847765696352207,133898360419762315,1251377835122996224,402098614266030486
1098942770164522421,2094292053893791057,1502787197562159741,1506874785637887678,1806798579414918424,454975914767324193,1414323121744038944,1012955095007255065,861851233384124269,2077817807364448578,1772311895174947970,1149025038050060293              
815640283800696837,910813018030261660,1678340892848250907,1739246628486150295,392018795657995396,175248342069728052,1623271890288900249,1102183448493964872,689450485525198961,961174862671750376,1153405115385730434,783761602692458549
611048852495693121,407835610147611058,1413610481177231988,1597579600935506441,1818379701514592062,415649361088711773,1849052475707052634,1240815129692687473,1428195511403744241,1532291835431068707,723086321983531860,962876074383023221
634881164868706703,1727184416336696360,207049339081848952,278975366067907545,1120181182190432182,18233512741727800,265294688458162921,874129395388464351,1578938804158614352,2212191138094533493,2294115954950092712,1860899752959121220
1172680933710958004,1130453267765242573,339548184768822637,2304496873779114990,102144016531266329,1193667180704190946,1408113390435388199,717197251166574721,1815513230372816916,341598652663476560,830720924367081080,1053020951839477025
